ERROR   | Hidden: [8, 50], Dropout: 0.2, Heads: 4, LR: 0.002, WD: 0, Optimizer: Adam,
ERROR   | Hidden: [8, 50], Dropout: 0.2, Heads: 4, LR: 0.002, WD: 1e-05, Optimizer: Adam,
ERROR   | Hidden: [8, 50], Dropout: 0.2, Heads: 4, LR: 0.002, WD: 0.0001, Optimizer: Adam,
ERROR   | Hidden: [8, 50], Dropout: 0.2, Heads: 4, LR: 0.002, WD: 0.001, Optimizer: Adam,
ERROR   | Hidden: [8, 50], Dropout: 0.2, Heads: 4, LR: 0.01, WD: 0, Optimizer: Adam,
ERROR   | Hidden: [8, 50], Dropout: 0.2, Heads: 4, LR: 0.01, WD: 1e-05, Optimizer: Adam,
ERROR   | Hidden: [8, 50], Dropout: 0.2, Heads: 4, LR: 0.01, WD: 0.0001, Optimizer: Adam,
ERROR   | Hidden: [8, 50], Dropout: 0.2, Heads: 4, LR: 0.01, WD: 0.001, Optimizer: Adam,
ERROR   | Hidden: [8, 50], Dropout: 0.2, Heads: 4, LR: 0.02, WD: 0, Optimizer: Adam,
ERROR   | Hidden: [8, 50], Dropout: 0.2, Heads: 4, LR: 0.02, WD: 1e-05, Optimizer: Adam,
ERROR   | Hidden: [8, 50], Dropout: 0.2, Heads: 4, LR: 0.02, WD: 0.0001, Optimizer: Adam,
ERROR   | Hidden: [8, 50], Dropout: 0.2, Heads: 4, LR: 0.02, WD: 0.001, Optimizer: Adam,
ERROR   | Hidden: [8, 50], Dropout: 0.3, Heads: 3, LR: 0.001, WD: 0, Optimizer: Adam,
ERROR   | Hidden: [8, 50], Dropout: 0.3, Heads: 3, LR: 0.001, WD: 0.0001, Optimizer: Adam,
ERROR   | Hidden: [8, 50], Dropout: 0.3, Heads: 3, LR: 0.002, WD: 0, Optimizer: Adam,
ERROR   | Hidden: [8, 50], Dropout: 0.3, Heads: 3, LR: 0.002, WD: 0.0001, Optimizer: Adam,
ERROR   | Hidden: [8, 50], Dropout: 0.3, Heads: 3, LR: 0.002, WD: 0.001, Optimizer: Adam,
ERROR   | Hidden: [8, 50], Dropout: 0.3, Heads: 3, LR: 0.01, WD: 0, Optimizer: Adam,
ERROR   | Hidden: [8, 50], Dropout: 0.3, Heads: 3, LR: 0.01, WD: 1e-05, Optimizer: Adam,
ERROR   | Hidden: [8, 50], Dropout: 0.3, Heads: 3, LR: 0.01, WD: 0.0001, Optimizer: Adam,
ERROR   | Hidden: [8, 50], Dropout: 0.3, Heads: 3, LR: 0.01, WD: 0.001, Optimizer: Adam,
ERROR   | Hidden: [8, 50], Dropout: 0.3, Heads: 3, LR: 0.02, WD: 0, Optimizer: Adam,
ERROR   | Hidden: [8, 50], Dropout: 0.3, Heads: 3, LR: 0.02, WD: 1e-05, Optimizer: Adam,
ERROR   | Hidden: [8, 50], Dropout: 0.3, Heads: 3, LR: 0.02, WD: 0.0001, Optimizer: Adam,
ERROR   | Hidden: [8, 50], Dropout: 0.3, Heads: 3, LR: 0.02, WD: 0.001, Optimizer: Adam,
ERROR   | Hidden: [8, 50], Dropout: 0.3, Heads: 4, LR: 0.001, WD: 0, Optimizer: Adam,
ERROR   | Hidden: [8, 50], Dropout: 0.3, Heads: 4, LR: 0.001, WD: 1e-05, Optimizer: Adam,
ERROR   | Hidden: [8, 50], Dropout: 0.3, Heads: 4, LR: 0.001, WD: 0.0001, Optimizer: Adam,
ERROR   | Hidden: [8, 50], Dropout: 0.3, Heads: 4, LR: 0.001, WD: 0.001, Optimizer: Adam,
ERROR   | Hidden: [8, 50], Dropout: 0.3, Heads: 4, LR: 0.002, WD: 0, Optimizer: Adam,
ERROR   | Hidden: [8, 50], Dropout: 0.3, Heads: 4, LR: 0.002, WD: 1e-05, Optimizer: Adam,
ERROR   | Hidden: [8, 50], Dropout: 0.3, Heads: 4, LR: 0.002, WD: 0.0001, Optimizer: Adam,
ERROR   | Hidden: [8, 50], Dropout: 0.3, Heads: 4, LR: 0.002, WD: 0.001, Optimizer: Adam,
ERROR   | Hidden: [8, 50], Dropout: 0.3, Heads: 4, LR: 0.01, WD: 0, Optimizer: Adam,
ERROR   | Hidden: [8, 50], Dropout: 0.3, Heads: 4, LR: 0.01, WD: 1e-05, Optimizer: Adam,
ERROR   | Hidden: [8, 50], Dropout: 0.3, Heads: 4, LR: 0.01, WD: 0.0001, Optimizer: Adam,
ERROR   | Hidden: [8, 50], Dropout: 0.3, Heads: 4, LR: 0.01, WD: 0.001, Optimizer: Adam,
ERROR   | Hidden: [8, 50], Dropout: 0.3, Heads: 4, LR: 0.02, WD: 0, Optimizer: Adam,
ERROR   | Hidden: [8, 50], Dropout: 0.3, Heads: 4, LR: 0.02, WD: 1e-05, Optimizer: Adam,
ERROR   | Hidden: [8, 50], Dropout: 0.3, Heads: 4, LR: 0.02, WD: 0.0001, Optimizer: Adam,
ERROR   | Hidden: [8, 50], Dropout: 0.3, Heads: 4, LR: 0.02, WD: 0.001, Optimizer: Adam,
ERROR   | Hidden: [8, 50], Dropout: 0.4, Heads: 3, LR: 0.001, WD: 0, Optimizer: Adam,
ERROR   | Hidden: [8, 50], Dropout: 0.4, Heads: 3, LR: 0.001, WD: 1e-05, Optimizer: Adam,
ERROR   | Hidden: [8, 50], Dropout: 0.4, Heads: 3, LR: 0.001, WD: 0.0001, Optimizer: Adam,
ERROR   | Hidden: [8, 50], Dropout: 0.4, Heads: 3, LR: 0.001, WD: 0.001, Optimizer: Adam,
ERROR   | Hidden: [8, 50], Dropout: 0.4, Heads: 3, LR: 0.002, WD: 0, Optimizer: Adam,
ERROR   | Hidden: [8, 50], Dropout: 0.4, Heads: 3, LR: 0.002, WD: 1e-05, Optimizer: Adam,
ERROR   | Hidden: [8, 50], Dropout: 0.4, Heads: 3, LR: 0.002, WD: 0.0001, Optimizer: Adam,
ERROR   | Hidden: [8, 50], Dropout: 0.4, Heads: 3, LR: 0.002, WD: 0.001, Optimizer: Adam,
ERROR   | Hidden: [8, 50], Dropout: 0.4, Heads: 3, LR: 0.01, WD: 0, Optimizer: Adam,
ERROR   | Hidden: [8, 50], Dropout: 0.4, Heads: 3, LR: 0.01, WD: 1e-05, Optimizer: Adam,
ERROR   | Hidden: [8, 50], Dropout: 0.4, Heads: 3, LR: 0.01, WD: 0.0001, Optimizer: Adam,
ERROR   | Hidden: [8, 50], Dropout: 0.4, Heads: 3, LR: 0.01, WD: 0.001, Optimizer: Adam,
ERROR   | Hidden: [8, 50], Dropout: 0.4, Heads: 3, LR: 0.02, WD: 0, Optimizer: Adam,
ERROR   | Hidden: [8, 50], Dropout: 0.4, Heads: 3, LR: 0.02, WD: 1e-05, Optimizer: Adam,
ERROR   | Hidden: [8, 50], Dropout: 0.4, Heads: 3, LR: 0.02, WD: 0.0001, Optimizer: Adam,
ERROR   | Hidden: [8, 50], Dropout: 0.4, Heads: 3, LR: 0.02, WD: 0.001, Optimizer: Adam,
ERROR   | Hidden: [8, 50], Dropout: 0.4, Heads: 4, LR: 0.001, WD: 0, Optimizer: Adam,
ERROR   | Hidden: [8, 50], Dropout: 0.4, Heads: 4, LR: 0.001, WD: 1e-05, Optimizer: Adam,
ERROR   | Hidden: [8, 50], Dropout: 0.4, Heads: 4, LR: 0.001, WD: 0.0001, Optimizer: Adam,
ERROR   | Hidden: [8, 50], Dropout: 0.4, Heads: 4, LR: 0.001, WD: 0.001, Optimizer: Adam,
ERROR   | Hidden: [8, 50], Dropout: 0.4, Heads: 4, LR: 0.002, WD: 0, Optimizer: Adam,
ERROR   | Hidden: [8, 50], Dropout: 0.4, Heads: 4, LR: 0.002, WD: 1e-05, Optimizer: Adam,
ERROR   | Hidden: [8, 50], Dropout: 0.4, Heads: 4, LR: 0.002, WD: 0.0001, Optimizer: Adam,
ERROR   | Hidden: [8, 50], Dropout: 0.4, Heads: 4, LR: 0.002, WD: 0.001, Optimizer: Adam,
ERROR   | Hidden: [8, 50], Dropout: 0.4, Heads: 4, LR: 0.01, WD: 0, Optimizer: Adam,
ERROR   | Hidden: [8, 50], Dropout: 0.4, Heads: 4, LR: 0.01, WD: 1e-05, Optimizer: Adam,
ERROR   | Hidden: [8, 50], Dropout: 0.4, Heads: 4, LR: 0.01, WD: 0.0001, Optimizer: Adam,
ERROR   | Hidden: [8, 50], Dropout: 0.4, Heads: 4, LR: 0.01, WD: 0.001, Optimizer: Adam,
ERROR   | Hidden: [8, 50], Dropout: 0.4, Heads: 4, LR: 0.02, WD: 0, Optimizer: Adam,
ERROR   | Hidden: [8, 50], Dropout: 0.4, Heads: 4, LR: 0.02, WD: 1e-05, Optimizer: Adam,
ERROR   | Hidden: [8, 50], Dropout: 0.4, Heads: 4, LR: 0.02, WD: 0.0001, Optimizer: Adam,
ERROR   | Hidden: [8, 50], Dropout: 0.4, Heads: 4, LR: 0.02, WD: 0.001, Optimizer: Adam,
